imax    1     number of categories 
jmax    11     number of samples minus one 
kmax    *     number of nuisance parameters 
------------------------------------------------------------------------------- 
shapes * * htt_mt.inputs-mssm-8TeV-0.root $CHANNEL/$PROCESS $CHANNEL/$PROCESS_$SYSTEMATIC 
shapes ggH * htt_mt.inputs-mssm-8TeV-0.root $CHANNEL/$PROCESS$MASS $CHANNEL/$PROCESS$MASS_$SYSTEMATIC 
shapes bbH * htt_mt.inputs-mssm-8TeV-0.root $CHANNEL/$PROCESS$MASS $CHANNEL/$PROCESS$MASS_$SYSTEMATIC 
------------------------------------------------------------------------------- 
bin                                                                              muTau_nobtag_high     
observation                                                                      2277                  
------------------------------------------------------------------------------- 
bin                                                                              muTau_nobtag_high    muTau_nobtag_high    muTau_nobtag_high    muTau_nobtag_high    muTau_nobtag_high    muTau_nobtag_high    muTau_nobtag_high    muTau_nobtag_high    muTau_nobtag_high    muTau_nobtag_high    muTau_nobtag_high    muTau_nobtag_high     
#CMS_htt_mt_muTau_nobtag_high_8TeV_VV_bin_8 shape                                 -                    -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_VV_bin_9 shape                                 -                    -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_VV_bin_10 shape                                -                    -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_VV_bin_11 shape                                -                    -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_VV_bin_12 shape                                -                    -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_VV_bin_13 shape                                -                    -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_VV_bin_14 shape                                -                    -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_VV_bin_15 shape                                -                    -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_VV_bin_16 shape                                -                    -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_VV_bin_17 shape                                -                    -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_VV_bin_18 shape                                -                    -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_VV_bin_19 shape                                -                    -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_VV_bin_20 shape                                -                    -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_VV_bin_21 shape                                -                    -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_VV_bin_22 shape                                -                    -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_VV_bin_23 shape                                -                    -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_VV_bin_24 shape                                -                    -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_VV_bin_25 shape                                -                    -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_VV_bin_26 shape                                -                    -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_VV_bin_27 shape                                -                    -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_VV_bin_28 shape                                -                    -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_VV_bin_29 shape                                -                    -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_VV_bin_30 shape                                -                    -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_VV_bin_31 shape                                -                    -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                     
